date,oil_price,PCE,GDP
1-Jan-00,26,20032,33836
1-Feb-00,28,20012,33829
1-Mar-00,27,19972,33816
1-Apr-00,23,19913,33797
1-May-00,28,19888,33787
1-Jun-00,30,19899,33786
1-Jul-00,29,19968,33834
1-Aug-00,30,19980,33815
1-Sep-00,33,19958,33744
1-Oct-00,31,19857,33558
1-Nov-00,33,19851,33518
1-Dec-00,26,19916,33602
1-Jan-01,26,20125,33945
1-Feb-01,28,20172,33996
1-Mar-01,25,20109,33845
1-Apr-01,26,19887,33429
1-May-01,28,19817,33265
1-Jun-01,28,19845,33271
1-Jul-01,25,19961,33458
1-Aug-01,26,20030,33531
1-Sep-01,26,20096,33587
1-Oct-01,21,20181,33648
1-Nov-01,19,20217,33671
1-Dec-01,19,20186,33633
1-Jan-02,19,19996,33356
1-Feb-02,20,19999,33401
1-Mar-02,24,20149,33701
1-Apr-02,26,20360,34103
1-May-02,25,20584,34524
1-Jun-02,24,20834,34973
1-Jul-02,26,21072,35391
1-Aug-02,27,21293,35776
1-Sep-02,28,21421,35985
1-Oct-02,28,21310,35765
1-Nov-02,24,21449,35987
1-Dec-02,28,21708,36418
1-Jan-03,31,21993,36879
1-Feb-03,33,22294,37397
1-Mar-03,31,22574,37905
1-Apr-03,25,22762,38276
1-May-03,26,23004,38728
1-Jun-03,28,23179,39058
1-Jul-03,28,23110,38927
1-Aug-03,30,23314,39314
1-Sep-03,27,23651,39958
1-Oct-03,30,23984,40616
1-Nov-03,29,24372,41348
1-Dec-03,30,24746,42029
1-Jan-04,31,25108,42621
1-Feb-04,31,25384,43135
1-Mar-04,34,25444,43310
1-Apr-04,34,25161,42929
1-May-04,38,25184,43035
1-Jun-04,35,25337,43324
1-Jul-04,38,25451,43475
1-Aug-04,43,25719,43950
1-Sep-04,43,26125,44680
1-Oct-04,50,26572,45493
1-Nov-04,43,26991,46249
1-Dec-04,40,27302,46812
1-Jan-05,45,27470,47115
1-Feb-05,45,27680,47496
1-Mar-05,53,27760,47642
1-Apr-05,52,27654,47450
1-May-05,49,27690,47518
1-Jun-05,54,27751,47638
1-Jul-05,58,27835,47757
1-Aug-05,64,27895,47900
1-Sep-05,63,27926,48044
1-Oct-05,59,27812,47964
1-Nov-05,55,27887,48199
1-Dec-05,57,28095,48646
1-Jan-06,63,28310,49064
1-Feb-06,60,28594,49628
1-Mar-06,62,28924,50253
1-Apr-06,70,29214,50768
1-May-06,70,29532,51363
1-Jun-06,69,29774,51826
1-Jul-06,74,29813,51906
1-Aug-06,73,30035,52340
1-Sep-06,62,30287,52839
1-Oct-06,58,30447,53164
1-Nov-06,59,30718,53703
1-Dec-06,62,31009,54269
1-Jan-07,54,31110,54529
1-Feb-07,58,31440,55157
1-Mar-07,62,31856,55901
1-Apr-07,67,32205,56481
1-May-07,67,32641,57249
1-Jun-07,71,33042,57957
1-Jul-07,77,33131,58063
1-Aug-07,71,33572,58877
1-Sep-07,77,34144,59999
1-Oct-07,82,34661,61079
1-Nov-07,92,35254,62255
1-Dec-07,91,35766,63249
1-Jan-08,92,35992,63654
1-Feb-08,95,36459,64564
1-Mar-08,104,36901,65459
1-Apr-08,109,37358,66435
1-May-08,123,37659,67050
1-Jun-08,132,37657,67025
1-Jul-08,133,37810,67235
1-Aug-08,113,37419,66449
1-Sep-08,97,36425,64527
1-Oct-08,72,34901,61726
1-Nov-08,52,33851,59641
1-Dec-08,40,33271,58313
1-Jan-09,43,33085,57606
1-Feb-09,43,32894,57005
1-Mar-09,47,33137,57346
1-Apr-09,50,33647,58355
1-May-09,57,34112,59172
1-Jun-09,69,34663,60156
1-Jul-09,64,35094,60879
1-Aug-09,73,35660,61936
1-Sep-09,68,36179,62993
1-Oct-09,73,36672,64020
1-Nov-09,77,37033,64835
1-Dec-09,74,37070,65085
1-Jan-10,76,36765,64698
1-Feb-10,74,36664,64683
1-Mar-10,79,36564,64615
1-Apr-10,85,36286,64148
1-May-10,76,36313,64269
1-Jun-10,75,36635,64882
1-Jul-10,76,37045,65543
1-Aug-10,77,37531,66467
1-Sep-10,78,38104,67625
1-Oct-10,83,38603,68730
1-Nov-10,85,39165,69865
1-Dec-10,91,39613,70714
1-Jan-11,97,39656,70746
1-Feb-11,104,40108,71563
1-Mar-11,115,40684,72591
1-Apr-11,123,41349,73720
1-May-11,115,41858,74647
1-Jun-11,114,42083,75130
1-Jul-11,117,42089,75267
1-Aug-11,110,42103,75385
1-Sep-11,113,41903,75097
1-Oct-11,110,41375,74195
1-Nov-11,111,41198,73919
1-Dec-11,108,41287,74078
1-Jan-12,111,41719,74816
1-Feb-12,119,41857,75043
1-Mar-12,125,41843,74994
1-Apr-12,120,41614,74572
1-May-12,110,41573,74470
1-Jun-12,95,41623,74521
1-Jul-12,103,41629,74534
1-Aug-12,113,41781,74747
1-Sep-12,113,42081,75185
1-Oct-12,112,42510,75780
1-Nov-12,109,42810,76244
1-Dec-12,109,42962,76545
1-Jan-13,113,42949,76656
1-Feb-13,116,43010,76829
1-Mar-13,108,43008,76865
1-Apr-13,102,42894,76663
1-May-13,103,42892,76689
1-Jun-13,103,42954,76829
1-Jul-13,108,42943,76841
1-Aug-13,111,43094,77131
1-Sep-13,112,43389,77659
1-Oct-13,109,43843,78438
1-Nov-13,108,44120,78931
1-Dec-13,111,44208,79103
1-Jan-14,108,43950,78678
1-Feb-14,109,44026,78827
1-Mar-14,107,44258,79241
1-Apr-14,108,44650,79929
1-May-14,110,44891,80350
1-Jun-14,112,44998,80525
1-Jul-14,107,45139,80808
1-Aug-14,102,45066,80634
1-Sep-14,97,44708,79892
1-Oct-14,87,44279,78928
1-Nov-14,79,43768,77928
1-Dec-14,62,43182,76897
1-Jan-15,48,42466,75773
1-Feb-15,58,42024,75014
1-Mar-15,56,41994,74925
1-Apr-15,60,42493,75731
1-May-15,64,42579,75823
1-Jun-15,61,42528,75670
1-Jul-15,57,42317,75278
1-Aug-15,47,42230,75055
1-Sep-15,48,42200,74911
1-Oct-15,48,42299,74967
1-Nov-15,44,42258,74825
1-Dec-15,38,42137,74608
1-Jan-16,31,41719,73923
1-Feb-16,32,41716,73947
1-Mar-16,38,42067,74611
1-Apr-16,42,42762,75905
1-May-16,47,43187,76686
1-Jun-16,48,43427,77100
1-Jul-16,45,43496,77146
1-Aug-16,46,43591,77303
1-Sep-16,47,43531,77224
1-Oct-16,50,43206,76693
1-Nov-16,45,43156,76654
1-Dec-16,53,43293,76942
1-Jan-17,55,43426,77291
1-Feb-17,55,43683,77801
1-Mar-17,52,44064,78498
1-Apr-17,52,44361,78922
1-May-17,50,44817,79787
1-Jun-17,46,45326,80857
1-Jul-17,48,45784,81932
1-Aug-17,52,46252,82941
1-Sep-17,56,46566,83603
1-Oct-17,58,46376,83233
1-Nov-17,63,46744,83968
1-Dec-17,64,47391,85221
1-Jan-18,69,48409,87104
1-Feb-18,65,48966,88210
1-Mar-18,66,49036,88455
1-Apr-18,72,48688,88009
1-May-18,77,48490,87727
1-Jun-18,74,48155,87077
1-Jul-18,74,47688,86056
1-Aug-18,73,47374,85408
1-Sep-18,79,47247,85135
1-Oct-18,81,47221,85080
1-Nov-18,65,47252,85123
1-Dec-18,57,47466,85529
1-Jan-19,59,47813,86232
1-Feb-19,64,48082,86731
1-Mar-19,66,48296,87085
1-Apr-19,71,48432,87275
1-May-19,71,48582,87492
1-Jun-19,64,48640,87530
1-Jul-19,64,48563,87311
1-Aug-19,59,48591,87309
1-Sep-19,63,48642,87390
1-Oct-19,60,48966,87976
1-Nov-19,63,48873,87835
1-Dec-19,67,48422,87094
1-Jan-20,64,48353,86749
1-Feb-20,56,47443,85369
1-Mar-20,32,45820,83101
1-Apr-20,18,42595,78536
1-May-20,29,41562,77233
1-Jun-20,40,42622,79072
1-Jul-20,43,45916,84033
1-Aug-20,45,47536,86783
1-Sep-20,41,48375,88521
1-Oct-20,40,48009,88475
1-Nov-20,43,48542,89784
1-Dec-20,50,49146,91104
1-Jan-21,55,49569,92007
1-Feb-21,62,50197,93251
1-Mar-21,65,50809,94302
1-Apr-21,65,51210,94889
1-May-21,69,51775,95753
1-Jun-21,73,52247,96370
1-Jul-21,75,52461,96375
1-Aug-21,71,52868,96941
1-Sep-21,74,53219,97633
1-Oct-21,84,53385,98195
1-Nov-21,81,53697,98915
1-Dec-21,74,53974,99572
1-Jan-22,87,54111,100164
1-Feb-22,97,54365,100637
1-Mar-22,117,54601,100740
1-Apr-22,105,54899,100578
1-May-22,113,55022,100437
1-Jun-22,123,54905,100096
1-Jul-22,112,54505,99548
1-Aug-22,100,54335,99201
1-Sep-22,90,54285,99074
1-Oct-22,93,54117,98665
1-Nov-22,91,54263,99034
1-Dec-22,81,54749,99870
1-Jan-23,83,55454,101423
1-Feb-23,83,56035,102559
1-Mar-23,,56498,103429
1-Apr-23,,56652,103676
1-May-23,,57058,104321
1-Jun-23,,57448,105128
1-Jul-23,,57666,105522
1-Aug-23,,58042,106103
1-Sep-23,,58401,106856
1-Oct-23,,58570,107116
1-Nov-23,,58931,107794
1-Dec-23,,59313,108576
1-Jan-24,,59544,109089
1-Feb-24,,59939,109808
1-Mar-24,,60341,110615
1-Apr-24,,60559,111156
1-May-24,,60974,111871
1-Jun-24,,61411,112719
1-Jul-24,,61732,113095
1-Aug-24,,62149,113851
1-Sep-24,,62497,114572
1-Oct-24,,62780,115324
1-Nov-24,,62978,115741
